Season,Contestant,Age,Height,Hometown,Finish,Place
1,Tessa Carlson[6],19,5 ft 9 in (1.75 m),"Chicago, Illinois",Episode 1,10
1,Katie Cleary[7],21,5 ft 9 in (1.75 m),"Glenview, Illinois",Episode 2,9
1,Nicole Panattoni[8],22,5 ft 11 in (1.80 m),"Murrieta, California",Episode 3,8
1,Ebony Haith[9],24,5 ft 10 in (1.78 m),"Bronx, New York",Episode 4,7
1,Giselle Samson[10],18,5 ft 10 in (1.78 m),"Corona, California",Episode 5,6
1,Kesse Wallace[11],21,5 ft 9.5 in (1.77 m),"North Little Rock, Arkansas",Episode 6,5
1,Robin Manning[12],26,5 ft 10 in (1.78 m),"Memphis, Tennessee",Episode 7,4
1,Elyse Sewell[13],20,5 ft 10 in (1.78 m),"Albuquerque, New Mexico",Episode 9,3
1,Shannon Stewart[14],18,5 ft 11 in (1.80 m),"Franklin, Ohio",,2
1,Adrianne Curry[15],20,5 ft 10.5 in (1.79 m),"Joliet, Illinois",,1
2,Anna Bradfield,22,1.73 m (5 ft 8 in),"LaGrange, Georgia",Episode 1,12
2,Bethany Harrison,22,1.73 m (5 ft 8 in),"Houston, Texas",Episode 2,11
2,Heather Blumberg,18,1.78 m (5 ft 10 in),"Moreno Valley, California",Episode 3,10
2,Jenascia Chakos,21,1.69 m (5 ft 6 1⁄2 in),"Burien, Washington",Episode 4,9
2,Xiomara Frans,25,1.80 m (5 ft 11 in),"Morganville, New Jersey",Episode 5,8
2,Catie Anderson,18,1.78 m (5 ft 10 in),"Willmar, Minnesota",Episode 6,7
2,Sara Racey-Tabrizi,22,1.75 m (5 ft 9 in),"Seattle, Washington",Episode 7,6
2,Camille McDonald,25,1.79 m (5 ft 10 1⁄2 in),"Mamaroneck, New York",Episode 8,5
2,April Wilkner,23,1.78 m (5 ft 10 in),"Miami Beach, Florida",Episode 10,4
2,Shandi Sullivan,21,1.78 m (5 ft 10 in),"Kansas City, Missouri",Episode 11,3
2,Mercedes Scelba-Shorte,21,1.73 m (5 ft 8 in),"Valencia, California",,2
2,Yoanna House,23,1.80 m (5 ft 11 in),"Jacksonville, Florida",,1
3,Magdalena Rivas[2],24,5 ft 9 in (1.75 m),"Worcester, Massachusetts",Episode 2,14
3,Leah Darrow[3],24,5 ft 9 in (1.75 m),"Oklahoma City, Oklahoma",,13
3,Julie Titus[4],19,5 ft 10 in (1.78 m),"Kent, Washington",Episode 3,12
3,Kristi Grommet[5],20,5 ft 10 in (1.78 m),"St. Louis, Missouri",Episode 4,11
3,Jennipher Frost[6],22,5 ft 10 in (1.78 m),"Pocatello, Idaho",Episode 5,10
3,Kelle Jacob[7],20,5 ft 11 in (1.80 m),"New York, New York",Episode 6,9
3,Cassie Grisham[8],19,5 ft 10 in (1.78 m),"Norman, Oklahoma",Episode 7,8
3,Toccara Jones[9],23,5 ft 9 in (1.75 m),"Dayton, Ohio",Episode 8,7
3,Nicole Borud[10],21,5 ft 8 in (1.73 m),"Minot, North Dakota",Episode 9,6
3,Norelle Van Herk[11],20,5 ft 10.5 in (1.79 m),"Newport Beach, California",Episode 11,5
3,Ann Markley[12],21,5 ft 11 in (1.80 m),"Erie, Pennsylvania",Episode 12,4
3,Amanda Swafford[13],25,5 ft 8 in (1.73 m),"Hendersonville, North Carolina",Episode 13,3
3,Yaya DaCosta[14],21,5 ft 8 in (1.73 m),"Harlem, New York",,2
3,Eva Pigford[15],19,5 ft 7 in (1.70 m),"Los Angeles, California",,1
4,Brita Petersons[2],25,5 ft 8.5 in (1.74 m),"La Cañada, California",Episode 2,14
4,Sarah Dankelman[3],22,5 ft 8.75 in (1.75 m),"Baltimore, Maryland",Episode 3,13
4,Brandy Rusher[4],20,5 ft 8 in (1.73 m),"Houston, Texas",Episode 4,12
4,Noelle Staggers[5],20,5 ft 7.25 in (1.71 m),"Reno, Nevada",Episode 5,11
4,Lluvy Gomez[6],21,5 ft 8.25 in (1.73 m),"Modesto, California",Episode 6,10
4,Tiffany Richardson[7],22,5 ft 9.75 in (1.77 m),"Miami, Florida",Episode 7,8–9
4,Rebecca Epley[8],22,5 ft 10 in (1.78 m),"Minneapolis, Minnesota",,
4,Tatiana Dante[9],18,5 ft 7 in (1.70 m),"Maui, Hawaii",Episode 8,7
4,Michelle Deighton[10],19,5 ft 10 in (1.78 m),"Terre Haute, Indiana",Episode 9,6
4,Christina Murphy[11],24,5 ft 10.25 in (1.78 m),"Tallahassee, Florida",Episode 10,5
4,Brittany Brower,22,6 ft 0 in (1.72 m),"Tallahassee, Florida",Episode 11,4
4,Keenyah Hill[12],19,5 ft 11.25 in (1.81 m),"Compton, California",Episode 13,3
4,Kahlen Rondot[13],21,5 ft 8 in (1.73 m),"Broken Arrow, Oklahoma",,2
4,Naima Mora[14],20,5 ft 9.5 in (1.77 m),"Detroit, Michigan",,1
5,Ashley Black[2],22,5 ft 8 in (1.73 m),"Fort Lauderdale, Florida",Episode 2,13
5,Ebony Taylor[3],18,5 ft 10 in (1.78 m),"Sylmar, California",Episode 3,12
5,Cassandra Whitehead[4],19,5 ft 7 in (1.70 m),"Houston, Texas",Episode 4,11 (quit)
5,Sarah Rhoades[5],18,5 ft 8 in (1.73 m),"Boonville, Missouri",,10
5,Diane Hernandez[6],23,5 ft 11 in (1.80 m),"Orlando, Florida",Episode 5,9
5,Coryn Woitel[7],19,5 ft 9 in (1.75 m),"Minneapolis, Minnesota",Episode 6,8
5,Kyle Kavanagh[8],19,5 ft 10 in (1.78 m),"Dexter, Michigan",Episode 7,7
5,Lisa D'Amato[9],24,5 ft 8 in (1.73 m),"Los Angeles, California",Episode 10,6
5,"Kimberly ""Kim"" Stolz[10]",21,5 ft 8 in (1.73 m),"New York, New York",Episode 11,5
5,Jayla Rubinelli[11],20,5 ft 8 in (1.73 m),"Tucson, Arizona",Episode 12,4
5,"Brittney ""Bre"" Scullark[12]",19,5 ft 8 in (1.73 m),"Harlem, New York",Episode 13,3
5,"Erica ""Nik"" Pace[13]",21,5 ft 8 in (1.73 m),"Atlanta, Georgia",,2
5,Nicole Linkletter[14],19,5 ft 9 in (1.75 m),"Grand Forks, North Dakota",,1
6,Kathy Hoxit[3],20,5 ft 10 in (1.78 m),"Brevard, North Carolina",Episode 2,13
6,Wendy Wiltz,22,5 ft 11 in (1.80 m),"New Orleans, Louisiana",Episode 3,12
6,Kari Schmidt[4],18,5 ft 8 in (1.73 m),"Brookings, South Dakota",Episode 4,11
6,Gina Choe[5],21,5 ft 8.5 in (1.74 m),"Odessa, Florida",Episode 5,10
6,Mollie Sue Steenis[6],25,5 ft 9 in (1.75 m),"Tampa, Florida",Episode 6,9
6,Leslie Mancia[7],18,5 ft 10 in (1.78 m),"Higley, Arizona",Episode 7,8
6,Brooke Staricha[8],22,5 ft 11 in (1.80 m),"Corpus Christi, Texas",Episode 8,7
6,Nnenna Agba[9],24,5 ft 10 in (1.78 m),"Houston, Texas",Episode 9,6
6,Furonda Brasfield[10],24,6 ft 0 in (1.83 m),"Stuttgart, Arkansas",Episode 11,5
6,Sara Albert[11],22,6 ft 1 in (1.85 m),"Davis, California",Episode 12,4
